no	file_name	memos			GPS
1	2019-06-18_11-30-44_000.jpg	:m 食べた物			N-35-35-28.44 E-139-34-49.11
2	2019-06-18_18-15-48_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.59 E-139-34-49.43
3	2019-06-18_18-16-02_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.89 E-139-34-49.27
4	2019-06-18_20-51-12_000.jpg	:m 食べた物			N-35-35-28.46 E-139-34-49.76
5	2019-06-19_01-27-23_000.jpg				N-35-35-28.46 E-139-34-49.54
6	2019-06-19_05-46-14_000.jpg				N-35-35-28.53 E-139-34-49.87
7	2019-06-19_07-35-23_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.48 E-139-34-49.49
8	2019-06-19_08-47-28_000.jpg	:m XXX			N-35-35-28.6 E-139-34-49.76
9	2019-06-19_08-47-41_000.jpg	:m XXX			N-35-35-28.85 E-139-34-49.87
10	2019-06-19_08-48-38_000.jpg	:m XXX			N-35-35-28.68 E-139-34-49.65
11	2019-06-19_08-48-55_000.jpg	:m XXX			N-35-35-28.68 E-139-34-49.65
