no	file_name	memos			GPS
1	2019-09-10_07-26-58_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-37.75 E-139-35-19.21
2	2019-09-10_10-18-32_000.jpg				N-35-35-49.49 E-139-35-35.8
3	2019-09-10_10-19-56_000.jpg	:m 食べた物			N-35-35-44.49 E-139-35-28.49
4	2019-09-10_13-28-19_000.png	
5	2019-09-10_16-12-10_000.jpg	:m XXX			N-35-35-28.7 E-139-34-48.94
6	2019-09-10_16-13-36_000.jpg	:m 1*1 res VX7GLZ / 28#12_1.XX / 28. physics / 12. twistor / 1. lie groups			N-35-35-28.75 E-139-34-49.11
7	2019-09-10_16-14-17_000.jpg	:m 1*1 res VX7GLZ / 28#12_1.XX / 28. physics / 12. twistor / 1. lie groups			N-35-35-28.86 E-139-34-49.32
8	2019-09-10_18-25-51_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.63 E-139-34-48.83
9	2019-09-10_18-37-51_000.jpg				N-35-35-28.75 E-139-34-49.82
10	2019-09-10_20-25-01_000.jpg	:m 食べた物			N-35-35-23.42 E-139-34-48.89
11	2019-09-11_06-04-42_000.jpg				N-35-35-24.92 E-139-34-49.27
12	2019-09-11_07-07-22_000.jpg	:m 記録 / お酒			N-35-35-29.15 E-139-34-49.6
13	2019-09-11_07-25-22_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-41.04 E-139-35-25.47
