no	file_name	memos			GPS
1	2019-09-06_09-31-30_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-52.83 E-139-35-40.47
2	2019-09-06_09-45-40_000.jpg				N-35-35-28.94 E-139-34-49.6
3	2019-09-06_13-05-11_000.jpg				N-35-35-25.47 E-139-34-49.05
4	2019-09-06_13-05-16_000.jpg				N-35-35-25.48 E-139-34-49.05
5	2019-09-06_13-05-20_000.jpg				N-35-35-25.47 E-139-34-49.05
6	2019-09-06_13-33-24_000.jpg	:m 食べた物			N-35-35-58.0 E-139-35-47.83
7	2019-09-06_13-38-13_000.jpg				N-35-35-55.31 E-139-35-44.31
8	2019-09-06_18-17-17_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-24.54 E-139-34-49.22
9	2019-09-06_20-19-04_000.jpg	:m 食べた物			N-35-35-16.1 E-139-34-48.67
10	2019-09-06_22-33-03_000.png	
11	2019-09-07_05-17-10_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.41 E-139-34-49.6
12	2019-09-07_05-42-25_000.jpg				N-35-35-28.38 E-139-34-49.87
13	2019-09-07_07-44-37_000.jpg				N-35-20-43.72 E-139-8-23.17
14	2019-09-07_07-44-43_000.jpg				N-35-20-43.64 E-139-8-23.34
15	2019-09-07_07-45-09_000.jpg				N-35-20-43.61 E-139-8-23.67
16	2019-09-07_13-03-52_000.jpg				N-35-23-44.72 E-139-4-58.06
17	2019-09-07_13-04-02_000.jpg				N-35-23-43.92 E-139-4-58.77
18	2019-09-07_16-34-23_000.jpg				N-35-23-44.1 E-139-4-58.55
19	2019-09-07_16-34-31_000.jpg				N-35-23-44.5 E-139-4-58.66
20	2019-09-07_16-34-39_000.jpg				N-35-23-45.04 E-139-4-58.5
21	2019-09-07_16-35-40_000.jpg				N-35-23-45.19 E-139-4-58.06
22	2019-09-07_23-00-57_000.png	
23	2019-09-08_10-17-39_000.jpg				N-35-23-45.19 E-139-4-58.83
24	2019-09-08_10-17-42_000.jpg				N-35-23-45.05 E-139-4-58.99
25	2019-09-08_10-17-52_000.jpg				N-35-23-44.53 E-139-4-58.99
26	2019-09-08_10-18-10_000.jpg				N-35-23-44.36 E-139-4-59.16
27	2019-09-08_10-18-28_000.jpg				N-35-23-44.19 E-139-4-58.94
28	2019-09-08_10-19-17_000.jpg				N-35-23-44.53 E-139-4-58.39
29	2019-09-08_10-19-26_000.jpg				N-35-23-44.38 E-139-4-58.44
30	2019-09-08_10-19-40_000.jpg				N-35-23-44.39 E-139-4-58.44
31	2019-09-08_14-08-02_000.jpg	:m RES 1-3*3 / free# JVEMV6 44#5.1_2X / 44. currency / 5. ea tools / 1. first / memo			N-35-35-29.62 E-139-34-49.05
32	2019-09-08_14-08-33_000.jpg				N-35-35-29.19 E-139-34-49.38
33	2019-09-08_14-08-46_000.jpg				N-35-35-28.74 E-139-34-49.27
