no	file_name	memos			GPS
1	2019-09-03_10-14-53_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-23.59 E-139-34-49.0
2	2019-09-03_13-52-02_000.jpg	:m 1*1 res VX7GLZ / 28#12_1.XX / 28. physics / 12. twistor / 1. lie groups			N-35-35-28.57 E-139-34-49.27
3	2019-09-03_15-07-33_000.jpg				N-35-35-28.59 E-139-34-49.38
4	2019-09-03_18-30-52_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.92 E-139-34-49.49
5	2019-09-03_19-48-31_000.jpg				N-35-35-23.71 E-139-34-48.89
6	2019-09-03_19-48-37_000.jpg				N-35-35-24.81 E-139-34-47.46
7	2019-09-03_19-48-41_000.jpg				N-35-35-24.81 E-139-34-47.46
8	2019-09-03_19-48-44_000.jpg				N-35-35-24.81 E-139-34-47.46
9	2019-09-03_19-48-48_000.jpg				N-35-35-24.81 E-139-34-47.46
10	2019-09-03_20-45-10_000.jpg	:m 食べた物			N-35-35-28.56 E-139-34-49.38
11	2019-09-04_02-26-10_000.png	
12	2019-09-04_02-26-18_000.png	:m 読みたい本 / 『』 / 著者=XXX
13	2019-09-04_09-06-05_000.jpg				N-35-35-28.26 E-139-34-49.22
14	2019-09-04_10-09-20_000.jpg	:m 記録 / お酒			N-35-35-23.96 E-139-34-49.82
15	2019-09-04_10-09-51_000.jpg	:m XXX			N-35-35-28.71 E-139-34-49.38
16	2019-09-04_10-09-59_000.jpg	:m XXX			N-35-35-28.71 E-139-34-49.38
17	2019-09-04_10-10-07_000.jpg	:m XXX			N-35-35-29.0 E-139-34-49.6
