no	file_name	memos			GPS
1	2019-08-18_08-48-29_000.jpg				N-35-35-23.66 E-139-34-49.11
2	2019-08-18_08-59-19_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-29.11 E-139-34-50.2
3	2019-08-18_10-55-55_000.jpg				N-35-35-59.25 E-139-35-2.51
4	2019-08-18_10-57-06_000.jpg	:m 食べた物			N-35-35-28.63 E-139-34-49.43
5	2019-08-18_17-22-52_000.jpg	:m X-X*X RES / 245 / 『古典場から量子場への道』　高橋康 / p.XX			N-35-35-24.18 E-139-34-49.76
6	2019-08-18_18-38-04_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.38 E-139-34-49.93
7	2019-08-18_20-40-18_000.jpg	:m 食べた物			N-35-35-23.97 E-139-34-48.34
8	2019-08-19_01-09-28_000.png	
9	2019-08-19_02-04-30_000.jpg				N-35-35-29.04 E-139-34-49.65
10	2019-08-19_03-23-30_000.png	
11	2019-08-19_08-57-01_000.jpg				N-35-35-25.29 E-139-34-49.71
12	2019-08-19_09-08-09_000.jpg	:m 記録 / お酒			N-35-35-29.05 E-139-34-49.49
13	2019-08-19_09-08-33_000.jpg	:m XXX			N-35-35-28.94 E-139-34-49.6
14	2019-08-19_09-08-44_000.jpg	:m XXX			N-35-35-28.94 E-139-34-49.6
15	2019-08-19_09-10-21_000.jpg	:m XXX			N-35-35-27.12 E-139-34-49.49
