no	file_name	memos			GPS
1	2019-07-07_10-09-01_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.4 E-139-34-49.43
2	2019-07-07_11-26-12_000.jpg	:m 食べた物			N-35-35-28.4 E-139-34-49.43
3	2019-07-07_16-06-42_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.4 E-139-34-49.43
4	2019-07-07_16-58-48_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.7 E-139-34-49.6
5	2019-07-07_17-22-45_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.53 E-139-34-49.32
6	2019-07-07_20-39-21_000.jpg	:m 食べた物			N-35-35-28.4 E-139-34-49.43
7	2019-07-08_00-12-36_000.jpg				N-35-35-28.0 E-139-34-49.11
8	2019-07-08_01-16-25_000.png	
9	2019-07-08_05-20-37_000.jpg				N-35-35-29.89 E-139-34-49.32
10	2019-07-08_06-34-16_000.jpg	:m 1*1 res VX7GLZ / 28#12_1.XX / 28. physics / 12. twistor / 1. lie groups			N-35-35-29.1 E-139-34-48.72
11	2019-07-08_06-34-54_000.jpg	:m XXX			N-35-35-28.94 E-139-34-49.32
12	2019-07-08_06-35-57_000.jpg	:m XXX			N-35-35-28.89 E-139-34-49.43
13	2019-07-08_06-36-57_000.jpg	:m XXX			N-35-35-28.89 E-139-34-49.43
