no	file_name	memos			GPS
1	2019-10-16_10-02-55_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.34 E-139-34-49.93
2	2019-10-16_11-13-58_000.jpg	:m 食べた物			N-35-35-28.37 E-139-34-49.87
3	2019-10-16_16-11-25_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.63 E-139-34-49.11
4	2019-10-16_16-13-17_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.61 E-139-34-49.22
5	2019-10-16_16-14-14_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.61 E-139-34-49.22
6	2019-10-16_16-14-39_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.61 E-139-34-49.22
7	2019-10-16_19-20-40_000.jpg				N-35-35-24.43 E-139-34-44.38
8	2019-10-16_19-20-53_000.jpg				N-35-35-24.78 E-139-34-44.55
9	2019-10-16_20-50-22_000.jpg	:m 食べた物			N-35-35-28.34 E-139-34-49.93
10	2019-10-17_00-36-34_000.png	
11	2019-10-17_05-38-43_000.jpg				N-35-35-28.42 E-139-34-49.6
12	2019-10-17_07-34-32_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.45 E-139-34-49.11
