no	file_name	memos			GPS
1	2019-11-03_10-01-33_000.jpg	:m 食べた物			N-35-35-28.31 E-139-34-49.71
2	2019-11-03_11-49-27_000.jpg	:m X-X*X RES / 245 / 『古典場から量子場への道』　高橋康 / p.XX			N-35-35-28.82 E-139-34-49.54
3	2019-11-03_13-11-38_000.jpg	:m XXX			N-35-35-28.74 E-139-34-49.38
4	2019-11-03_14-13-48_000.jpg				N-35-35-28.52 E-139-34-49.43
5	2019-11-03_14-13-52_000.jpg				N-35-35-28.57 E-139-34-49.38
6	2019-11-03_14-15-49_000.jpg				N-35-35-28.37 E-139-34-49.76
7	2019-11-03_14-18-21_000.jpg				N-35-35-28.34 E-139-34-49.6
8	2019-11-03_14-18-26_000.jpg				N-35-35-27.97 E-139-34-49.49
9	2019-11-03_14-25-02_000.jpg				N-35-35-28.33 E-139-34-49.6
10	2019-11-03_14-28-30_000.jpg				N-35-35-28.04 E-139-34-49.76
11	2019-11-03_15-35-05_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.16 E-139-34-49.76
12	2019-11-03_17-56-50_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-29.14 E-139-34-49.43
13	2019-11-03_20-45-10_000.jpg	:m 食べた物			N-35-35-28.38 E-139-34-49.93
14	2019-11-04_00-49-17_000.png	
15	2019-11-04_06-38-34_000.jpg	:m XXX			N-35-35-28.13 E-139-34-49.16
16	2019-11-04_07-58-10_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.45 E-139-34-50.15
