no	file_name	memos			GPS
1	2019-11-08_09-55-32_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.33 E-139-34-49.65
2	2019-11-08_10-58-18_000.jpg	:m 食べた物			N-35-35-28.0 E-139-34-49.71
3	2019-11-08_15-39-29_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.72 E-139-34-49.43
4	2019-11-08_18-13-06_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-27.63 E-139-34-49.93
5	2019-11-08_20-49-53_000.jpg	:m 食べた物			N-35-35-28.41 E-139-34-49.16
6	2019-11-08_22-04-15_000.jpg				N-35-35-28.3 E-139-34-49.43
7	2019-11-08_22-48-47_000.png	
8	2019-11-09_09-17-34_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.77 E-139-34-49.38
9	2019-11-09_13-46-58_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.35 E-139-34-49.76
