no	file_name	memos			GPS
1	2019-11-13_09-53-48_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.4 E-139-34-49.49
2	2019-11-13_11-42-11_000.jpg	:m 食べた物			N-35-35-28.35 E-139-34-49.87
3	2019-11-13_15-38-14_000.jpg	:m X-X*X RES / 245 / 『古典場から量子場への道』　高橋康 / p.XX			N-35-35-28.85 E-139-34-49.43
4	2019-11-13_18-43-40_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.31 E-139-34-49.38
5	2019-11-14_01-39-07_000.png	
6	2019-11-14_09-05-37_000.jpg				N-35-35-28.16 E-139-34-49.54
