no	file_name	memos			GPS
1	2019-08-15_09-20-36_000.jpg	:m 食べた物　間食 / 砂糖菓子			N-35-35-23.89 E-139-34-49.05
2	2019-08-15_10-32-41_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-27.47 E-139-34-49.54
3	2019-08-15_11-23-19_000.jpg				N-35-35-28.9 E-139-34-49.6
4	2019-08-15_11-51-49_000.jpg	:m 食べた物			N-35-35-25.48 E-139-34-49.87
5	2019-08-15_13-15-15_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-23.6 E-139-34-49.05
6	2019-08-15_13-15-31_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-27.98 E-139-34-50.81
7	2019-08-15_14-14-09_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-24.3 E-139-34-49.05
8	2019-08-15_14-14-16_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-24.3 E-139-34-49.05
9	2019-08-15_16-04-53_000.jpg	:m 食べた物			N-35-35-28.59 E-139-34-49.38
10	2019-08-15_16-05-15_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.66 E-139-34-49.43
11	2019-08-15_16-05-21_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.66 E-139-34-49.43
12	2019-08-15_18-11-32_000.jpg	:m music / log / kb / s.1:XXX s.2:XXX s.3:XXX s.4:XXX s.5:XXX s.6:XXX s.7:XXX			N-35-35-29.11 E-139-34-48.78
13	2019-08-15_20-49-14_000.jpg	:m 食べた物			N-35-35-28.02 E-139-34-50.2
14	2019-08-16_00-44-06_000.jpg				N-35-35-28.89 E-139-34-49.71
15	2019-08-16_01-04-11_000.png	
16	2019-08-16_07-56-54_000.jpg	:m 記録 / お酒			N-35-35-28.13 E-139-34-49.43
17	2019-08-16_07-57-30_000.jpg	:m XXX			N-35-35-28.75 E-139-34-49.38
