no	file_name	memos			GPS
1	2019-10-21_11-05-41_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.12 E-139-34-49.87
2	2019-10-21_12-29-31_000.jpg	:m 食べた物			N-35-35-28.38 E-139-34-49.87
3	2019-10-21_14-17-21_000.jpg	:m XXX			N-35-35-29.12 E-139-34-49.54
4	2019-10-21_18-13-14_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.11 E-139-34-49.32
5	2019-10-21_18-13-48_000.jpg				N-35-35-28.85 E-139-34-49.22
6	2019-10-21_18-14-32_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.64 E-139-34-49.27
7	2019-10-21_18-14-57_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.55 E-139-34-49.22
8	2019-10-21_18-15-33_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.45 E-139-34-49.32
9	2019-10-21_18-15-50_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.45 E-139-34-49.38
10	2019-10-21_18-16-15_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.45 E-139-34-49.38
11	2019-10-21_20-44-39_000.jpg	:m 食べた物			N-35-35-28.38 E-139-34-49.71
12	2019-10-21_21-46-55_000.jpg	:m XXX			N-35-35-28.04 E-139-34-49.38
13	2019-10-22_00-41-52_000.png	
14	2019-10-22_06-01-21_000.jpg				N-35-35-28.19 E-139-34-49.71
