no	file_name	memos			GPS
1	2019-07-24_10-05-57_000.jpg	:m XXX			N-35-35-28.86 E-139-34-49.38
2	2019-07-24_11-44-35_000.jpg	:m 食べた物			N-35-35-23.33 E-139-34-49.0
3	2019-07-24_13-14-29_000.jpg				N-35-35-24.73 E-139-34-49.43
4	2019-07-24_13-19-46_000.jpg				N-35-35-28.59 E-139-34-49.43
5	2019-07-24_18-09-23_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.77 E-139-34-49.32
6	2019-07-24_18-43-33_000.jpg				N-35-35-25.26 E-139-34-48.56
7	2019-07-24_18-43-40_000.jpg				N-35-35-25.09 E-139-34-48.83
8	2019-07-24_18-43-52_000.jpg				N-35-35-25.09 E-139-34-48.78
9	2019-07-24_18-43-58_000.jpg				N-35-35-25.07 E-139-34-48.72
10	2019-07-24_20-42-41_000.jpg	:m 食べた物			N-35-35-24.65 E-139-34-49.43
11	2019-07-24_22-45-17_000.png	
12	2019-07-25_05-05-38_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-25.65 E-139-34-49.43
13	2019-07-25_05-45-26_000.jpg				N-35-35-28.7 E-139-34-49.6
14	2019-07-25_14-18-37_000.jpg				N-35-23-44.35 E-139-4-58.06
15	2019-07-25_14-18-46_000.jpg				N-35-23-44.38 E-139-4-58.39
16	2019-07-25_14-18-54_000.jpg				N-35-23-44.32 E-139-4-58.17
17	2019-07-25_14-19-00_000.jpg	:m music / log / kb / s.1:XXX s.2:XXX s.3:XXX s.4:XXX s.5:XXX s.6:XXX s.7:XXX			N-35-23-44.25 E-139-4-58.0
18	2019-07-25_14-19-21_000.jpg				N-35-23-44.25 E-139-4-57.95
19	2019-07-25_14-19-25_000.jpg				N-35-23-44.21 E-139-4-58.0
20	2019-07-25_14-19-30_000.jpg				N-35-23-44.21 E-139-4-58.11
21	2019-07-25_14-19-51_000.jpg				N-35-23-44.21 E-139-4-58.11
22	2019-07-25_14-20-00_000.jpg				N-35-23-44.21 E-139-4-58.11
23	2019-07-25_14-20-34_000.jpg				N-35-23-44.35 E-139-4-58.0
24	2019-07-25_14-20-44_000.jpg				N-35-23-44.35 E-139-4-58.0
25	2019-07-25_14-20-53_000.jpg				N-35-23-44.3 E-139-4-58.06
26	2019-07-25_14-20-59_000.jpg				N-35-23-44.3 E-139-4-58.06
27	2019-07-25_14-21-13_000.jpg				N-35-23-44.3 E-139-4-58.06
28	2019-07-25_14-21-21_000.jpg				N-35-23-44.3 E-139-4-58.06
29	2019-07-25_14-21-30_000.jpg				N-35-23-44.3 E-139-4-58.06
30	2019-07-26_06-07-27_000.jpg				N-35-23-43.11 E-139-4-59.05
31	2019-07-26_06-07-39_000.jpg	:m X-X*X RES / 245 / 『相対性理論』　メラー　永田恒夫、伊藤大介、訳 / p.XX			N-35-23-43.9 E-139-4-59.71
32	2019-07-26_06-07-41_000.jpg	:m 1*1 res VX7GLZ / 28#12_1.XX / 28. physics / 12. twistor / 1. lie groups			N-35-23-43.97 E-139-4-59.54
33	2019-07-26_06-07-54_000.jpg	:m X-X*X RES / 245 / 『相対性理論』　メラー　永田恒夫、伊藤大介、訳 / p.XX			N-35-23-44.09 E-139-4-59.21
34	2019-07-26_06-56-32_000.jpg				N-35-23-43.62 E-139-5-9.16
