no	file_name	memos			GPS
1	2019-10-09_10-53-13_000.jpg	:m 食べた物			N-35-35-28.44 E-139-34-49.87
2	2019-10-09_13-22-45_000.jpg	:m RES 1-3*3 / free# JVEMV6 44#5.1_2X / 44. currency / 5. ea tools / 1. first / memo			N-35-35-29.07 E-139-34-49.71
3	2019-10-09_15-01-13_000.jpg	:m XXX			N-35-35-28.67 E-139-34-49.6
4	2019-10-09_18-38-17_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.66 E-139-34-49.38
5	2019-10-09_18-39-24_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.66 E-139-34-49.43
6	2019-10-09_18-40-57_000.jpg	:m XXX			N-35-35-28.57 E-139-34-49.49
7	2019-10-09_21-04-04_000.jpg	:m 食べた物			N-35-35-28.37 E-139-34-49.87
8	2019-10-10_00-04-27_000.png	
9	2019-10-10_08-38-30_000.jpg				N-35-35-28.86 E-139-34-48.61
