no	file_name	memos			GPS
1	2019-11-02_08-10-41_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.61 E-139-34-49.22
2	2019-11-02_10-24-04_000.jpg	:m 食べた物			N-35-35-28.4 E-139-34-49.87
3	2019-11-02_13-53-52_000.jpg				N-35-35-28.75 E-139-34-49.43
4	2019-11-02_13-54-03_000.jpg				N-35-35-28.74 E-139-34-49.22
5	2019-11-02_13-54-47_000.jpg				N-35-35-28.67 E-139-34-49.32
6	2019-11-02_13-59-39_000.jpg				N-35-35-28.52 E-139-34-49.49
7	2019-11-02_14-12-25_000.jpg				N-35-35-28.55 E-139-34-49.54
8	2019-11-02_14-16-34_000.jpg				N-35-35-28.63 E-139-34-49.6
9	2019-11-02_14-16-44_000.jpg				N-35-35-28.52 E-139-34-49.54
10	2019-11-02_14-18-46_000.jpg				N-35-35-28.49 E-139-34-49.32
11	2019-11-02_18-03-18_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.55 E-139-34-49.27
12	2019-11-02_20-14-21_000.jpg	:m 食べた物			N-35-35-24.71 E-139-34-51.52
13	2019-11-03_00-10-24_000.png	
14	2019-11-03_05-44-33_000.jpg				N-35-35-28.61 E-139-34-50.53
15	2019-11-03_07-15-24_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.66 E-139-34-49.6
