no	file_name	memos			GPS
1	2019-11-14_10-45-18_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.89 E-139-34-49.54
2	2019-11-14_12-01-00_000.jpg	:m 食べた物			N-35-35-10.36 E-139-34-42.4
3	2019-11-14_14-21-27_000.jpg				N-35-35-28.3 E-139-34-49.71
4	2019-11-14_14-23-31_000.jpg				N-35-35-28.74 E-139-34-49.27
5	2019-11-14_14-25-11_000.jpg				N-35-35-28.74 E-139-34-49.27
6	2019-11-14_14-25-50_000.jpg				N-35-35-28.13 E-139-34-48.61
7	2019-11-14_14-27-43_000.jpg				N-35-35-28.34 E-139-34-49.87
8	2019-11-14_14-33-48_000.jpg				N-35-35-28.67 E-139-34-49.27
9	2019-11-14_14-34-16_000.jpg				N-35-35-28.33 E-139-34-49.6
10	2019-11-14_15-33-37_000.jpg	:bookmemo / 読んだ本 / 『XXX』 / 著者=XXX			N-35-35-28.37 E-139-34-49.49
11	2019-11-14_15-44-21_000.jpg				N-35-35-28.6 E-139-34-49.76
12	2019-11-14_17-01-14_000.jpg	:m X-X*X RES / 245 / 『古典場から量子場への道』　高橋康 / p.XX			N-35-35-28.6 E-139-34-49.05
13	2019-11-14_18-17-04_000.jpg	:m music / log / gt / || s.1:XXX || s.2:XXX || s.3:XXX || s.4:XXX || s.5:XXX || s.6:XXX || s.7:XXX			N-35-35-28.6 E-139-34-50.09
14	2019-11-14_21-03-23_000.jpg	:m 食べた物			N-35-35-28.42 E-139-34-49.71
15	2019-11-14_22-38-10_000.png	
16	2019-11-15_05-09-08_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.19 E-139-34-49.0
17	2019-11-15_05-12-14_000.jpg				N-35-35-28.4 E-139-34-49.32
18	2019-11-15_05-40-40_000.jpg				N-35-35-28.37 E-139-34-49.98
19	2019-11-15_06-44-17_000.jpg	UNKNOWN			N-35-38-29.3 E-139-38-56.24
20	2019-11-15_06-44-22_000.jpg				N-35-38-29.3 E-139-38-56.24
21	2019-11-15_06-44-30_000.jpg	:m 読みたい本 / 『XXX』 / 著者=XXX			N-35-38-29.37 E-139-38-56.24
22	2019-11-15_06-45-30_000.jpg				N-35-38-29.16 E-139-38-56.96
23	2019-11-15_06-45-48_000.jpg				N-35-38-29.46 E-139-38-56.52
24	2019-11-15_06-45-55_000.jpg	UNKNOWN			N-35-38-29.42 E-139-38-56.52
25	2019-11-15_06-45-59_000.jpg				N-35-38-29.42 E-139-38-56.52
26	2019-11-15_18-47-17_000.jpg				N-35-35-28.57 E-139-34-49.98
27	2019-11-15_20-55-30_000.jpg	:m 食べた物			N-35-35-28.08 E-139-34-49.82
28	2019-11-16_05-50-33_000.png	
29	2019-11-16_11-36-18_000.jpg				N-35-35-28.15 E-139-34-49.71
30	2019-11-16_12-11-53_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.34 E-139-34-49.54
